91939	2026-05-01 08:15:00	1
91939	2026-05-01 17:30:00	0
92001	2026-05-01 08:45:00	1
92001	2026-05-01 17:15:00	0
92002	2026-05-01 08:00:00	1
92002	2026-05-01 17:45:00	0
92003	2026-05-01 09:05:00	1
92003	2026-05-01 18:00:00	0
92004	2026-05-01 08:30:00	1
92004	2026-05-01 17:30:00	0
91939	2026-05-02 08:20:00	1
91939	2026-05-02 17:45:00	0
92001	2026-05-02 08:50:00	1
92001	2026-05-02 17:20:00	0
92002	2026-05-02 08:05:00	1
92002	2026-05-02 17:50:00	0
92003	2026-05-02 09:30:00	1
92003	2026-05-02 18:15:00	0
92004	2026-05-02 08:25:00	1
92004	2026-05-02 17:35:00	0
91939	2026-05-03 08:10:00	1
91939	2026-05-03 17:40:00	0
92001	2026-05-03 08:40:00	1
92001	2026-05-03 17:25:00	0
92002	2026-05-03 08:15:00	1
92002	2026-05-03 17:55:00	0
92003	2026-05-03 08:55:00	1
92003	2026-05-03 18:10:00	0
92004	2026-05-03 08:35:00	1
92004	2026-05-03 17:40:00	0
91939	2026-05-06 08:25:00	1
91939	2026-05-06 17:50:00	0
92001	2026-05-06 08:30:00	1
92001	2026-05-06 17:30:00	0
92002	2026-05-06 08:00:00	1
92002	2026-05-06 17:45:00	0
92003	2026-05-06 09:15:00	1
92003	2026-05-06 18:20:00	0
92004	2026-05-06 08:20:00	1
92004	2026-05-06 17:45:00	0
92005	2026-05-06 08:40:00	1
92005	2026-05-06 17:55:00	0
92006	2026-05-06 08:35:00	1
92006	2026-05-06 18:00:00	0
92007	2026-05-06 09:00:00	1
92007	2026-05-06 18:30:00	0
91939	2026-05-07 08:18:00	1
91939	2026-05-07 17:35:00	0
92001	2026-05-07 08:25:00	1
92001	2026-05-07 17:40:00	0
92002	2026-05-07 08:10:00	1
92002	2026-05-07 17:50:00	0
92003	2026-05-07 09:20:00	1
92003	2026-05-07 18:25:00	0
92004	2026-05-07 08:30:00	1
92004	2026-05-07 17:55:00	0
92005	2026-05-07 08:45:00	1
92005	2026-05-07 18:10:00	0
92006	2026-05-07 08:40:00	1
92006	2026-05-07 18:05:00	0
92007	2026-05-07 09:05:00	1
92007	2026-05-07 18:35:00	0
